1, none, minecraft:the_void, MONSTER, decoration_delight:stool_entity,20,4,4
2, plains, minecraft:plains, MONSTER, minecraft:spider,80,4,4
3, plains, minecraft:plains, MONSTER, minecraft:zombie,80,4,4
4, plains, minecraft:plains, MONSTER, minecraft:zombie_villager,10,1,1
5, plains, minecraft:plains, MONSTER, minecraft:skeleton,80,4,4
6, plains, minecraft:plains, MONSTER, minecraft:creeper,80,4,4
7, plains, minecraft:plains, MONSTER, minecraft:slime,80,4,4
8, plains, minecraft:plains, MONSTER, minecraft:enderman,5,1,4
9, plains, minecraft:plains, MONSTER, minecraft:witch,5,1,1
10, plains, minecraft:plains, MONSTER, eidolon:wraith,60,1,3
11, plains, minecraft:plains, MONSTER, graveyard:nightmare,10,1,1
12, plains, minecraft:plains, MONSTER, caverns_and_chasms:mime,80,1,1
13, plains, minecraft:plains, MONSTER, eidolon:zombie_brute,60,1,3
14, plains, minecraft:plains, MONSTER, decoration_delight:stool_entity,20,4,4
15, plains, minecraft:plains, MONSTER, tconstruct:sky_slime,80,2,4
16, plains, minecraft:plains, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
17, plains, minecraft:plains, MONSTER, goety:wraith,20,1,1
18, plains, minecraft:plains, MONSTER, goety:warlock,10,1,1
19, plains, minecraft:plains, MONSTER, quark:stoneling,80,1,1
20, plains, minecraft:plains, MONSTER, quark:toretoise,80,2,4
21, plains, minecraft:plains, CREATURE, minecraft:sheep,25,8,8
22, plains, minecraft:plains, CREATURE, minecraft:cow,20,8,8
23, plains, minecraft:plains, CREATURE, minecraft:horse,10,2,6
24, plains, minecraft:plains, CREATURE, minecraft:donkey,10,1,3
25, plains, minecraft:plains, CREATURE, ecologics:squirrel,10,2,3
26, plains, minecraft:plains, CREATURE, hamsters:hamster,10,1,1
27, plains, minecraft:plains, CREATURE, naturalist:snail,10,2,3
28, plains, minecraft:plains, CREATURE, naturalist:snake,10,1,1
29, plains, minecraft:plains, CREATURE, naturalist:robin,10,1,4
30, plains, minecraft:plains, CREATURE, naturalist:butterfly,10,1,3
31, plains, minecraft:plains, AMBIENT, minecraft:bat,10,8,8
32, plains, minecraft:plains, AMBIENT, caverns_and_chasms:glare,20,1,1
33, plains, minecraft:plains, AMBIENT, naturalist:firefly,10,2,3
34, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
35, none, minecraft:sunflower_plains, MONSTER, minecraft:spider,80,4,4
36, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie,80,4,4
37, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager,10,1,1
38, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton,80,4,4
39, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper,80,4,4
40, none, minecraft:sunflower_plains, MONSTER, minecraft:slime,80,4,4
41, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman,5,1,4
42, none, minecraft:sunflower_plains, MONSTER, minecraft:witch,5,1,1
43, none, minecraft:sunflower_plains, MONSTER, eidolon:wraith,60,1,3
44, none, minecraft:sunflower_plains, MONSTER, graveyard:nightmare,10,1,1
45, none, minecraft:sunflower_plains, MONSTER, caverns_and_chasms:mime,80,1,1
46, none, minecraft:sunflower_plains, MONSTER, eidolon:zombie_brute,60,1,3
47, none, minecraft:sunflower_plains, MONSTER, decoration_delight:stool_entity,20,4,4
48, none, minecraft:sunflower_plains, MONSTER, tconstruct:sky_slime,80,2,4
49, none, minecraft:sunflower_plains, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
50, none, minecraft:sunflower_plains, MONSTER, goety:wraith,20,1,1
51, none, minecraft:sunflower_plains, MONSTER, goety:warlock,10,1,1
52, none, minecraft:sunflower_plains, MONSTER, quark:stoneling,80,1,1
53, none, minecraft:sunflower_plains, MONSTER, quark:toretoise,80,2,4
54, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep,25,8,8
55, none, minecraft:sunflower_plains, CREATURE, minecraft:cow,20,8,8
56, none, minecraft:sunflower_plains, CREATURE, minecraft:horse,10,2,6
57, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey,10,1,3
58, none, minecraft:sunflower_plains, CREATURE, hamsters:hamster,10,1,1
59, none, minecraft:sunflower_plains, CREATURE, naturalist:snail,10,2,3
60, none, minecraft:sunflower_plains, CREATURE, naturalist:snake,10,1,1
61, none, minecraft:sunflower_plains, CREATURE, naturalist:robin,10,1,4
62, none, minecraft:sunflower_plains, CREATURE, naturalist:butterfly,10,1,3
63, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat,10,8,8
64, none, minecraft:sunflower_plains, AMBIENT, caverns_and_chasms:glare,20,1,1
65, none, minecraft:sunflower_plains, AMBIENT, naturalist:firefly,10,2,3
66, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
67, icy, minecraft:snowy_plains, MONSTER, minecraft:spider,80,4,4
68, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie,80,4,4
69, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager,10,1,1
70, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton,20,4,4
71, icy, minecraft:snowy_plains, MONSTER, minecraft:creeper,80,4,4
72, icy, minecraft:snowy_plains, MONSTER, minecraft:slime,80,4,4
73, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman,5,1,4
74, icy, minecraft:snowy_plains, MONSTER, minecraft:stray,80,4,4
75, icy, minecraft:snowy_plains, MONSTER, eidolon:wraith,60,1,3
76, icy, minecraft:snowy_plains, MONSTER, graveyard:nightmare,10,1,1
77, icy, minecraft:snowy_plains, MONSTER, caverns_and_chasms:mime,80,1,1
78, icy, minecraft:snowy_plains, MONSTER, graveyard:skeleton_creeper,25,1,4
79, icy, minecraft:snowy_plains, MONSTER, eidolon:zombie_brute,60,1,3
80, icy, minecraft:snowy_plains, MONSTER, savage_and_ravage:skeleton_villager,10,1,1
81, icy, minecraft:snowy_plains, MONSTER, decoration_delight:stool_entity,20,4,4
82, icy, minecraft:snowy_plains, MONSTER, tconstruct:sky_slime,80,2,4
