1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
2, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
3, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
4, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
5, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
6, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
7, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
8, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
9, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
10, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
11, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
12, minecraft:monument, HEADING, header:ignore, 0, 0, 0
13, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
14, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
15, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
16, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
17, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
18, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
19, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
20, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
21, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
22, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
23, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
24, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
25, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
26, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
27, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
28, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
29, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
30, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
31, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
32, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
33, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
34, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
35, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
36, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
37, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
38, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
39, conjurer_illager:theatre, HEADING, header:ignore, 0, 0, 0
40, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
41, incendium:piglin_village, HEADING, header:ignore, 0, 0, 0
42, explorify:desert_shrine, HEADING, header:ignore, 0, 0, 0
43, terralith:zpointer/terralith_arid_highlands, HEADING, header:ignore, 0, 0, 0
44, terralith:zpointer/terralith_mirage_isles, HEADING, header:ignore, 0, 0, 0
45, terralith:zpointer/minecraft_sunflower_plains, HEADING, header:ignore, 0, 0, 0
46, goety:blighted_shack, HEADING, header:ignore, 0, 0, 0
47, goety:blighted_shack, MONSTER, minecraft:witch, 10, 1, 1
48, terralith:zpointer/terralith_siberian_grove, HEADING, header:ignore, 0, 0, 0
49, philipsruins:underground_structures, HEADING, header:ignore, 0, 0, 0
50, philipsruins:underground_structures, MONSTER, minecraft:wither_skeleton, 10, 1, 5
51, terralith:zpointer/minecraft_jungle, HEADING, header:ignore, 0, 0, 0
52, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
53, terralith:zpointer/terralith_warped_mesa, HEADING, header:ignore, 0, 0, 0
54, terralith:zpointer/minecraft_deep_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
55, graveyard:small_grave, HEADING, header:ignore, 0, 0, 0
56, terralith:zpointer/minecraft_frozen_ocean, HEADING, header:ignore, 0, 0, 0
57, terralith:zpointer/terralith_ancient_sands, HEADING, header:ignore, 0, 0, 0
58, terralith:zpointer/terralith_windswept_spires, HEADING, header:ignore, 0, 0, 0
59, philipsruins:ancient_dungeon, HEADING, header:ignore, 0, 0, 0
60, philipsruins:ancient_dungeon, MONSTER, minecraft:zombie, 10, 4, 12
61, explorify:watchtower_taiga, HEADING, header:ignore, 0, 0, 0
62, terralith:zpointer/terralith_emerald_peaks, HEADING, header:ignore, 0, 0, 0
63, terralith:zpointer/terralith_gravel_desert, HEADING, header:ignore, 0, 0, 0
64, incendium:nether_reactor, HEADING, header:ignore, 0, 0, 0
65, witherstormmod:bowels, HEADING, header:ignore, 0, 0, 0
66, terralith:zpointer/terralith_steppe, HEADING, header:ignore, 0, 0, 0
67, terralith:zpointer/minecraft_deep_warm_ocean, HEADING, header:ignore, 0, 0, 0
68, goety:dark_manor, HEADING, header:ignore, 0, 0, 0
69, terralith:zpointer/terralith_yellowstone, HEADING, header:ignore, 0, 0, 0
70, explorify:watchtower_plains, HEADING, header:ignore, 0, 0, 0
71, witherstormmod:storm_spawn_platform, HEADING, header:ignore, 0, 0, 0
72, terralith:zpointer/terralith_skylands_autumn, HEADING, header:ignore, 0, 0, 0
73, terralith:zpointer/minecraft_sparse_jungle, HEADING, header:ignore, 0, 0, 0
74, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
75, terralith:zpointer/minecraft_snowy_beach, HEADING, header:ignore, 0, 0, 0
76, terralith:zpointer/terralith_rocky_jungle, HEADING, header:ignore, 0, 0, 0
77, terralith:zpointer/terralith_desert_oasis, HEADING, header:ignore, 0, 0, 0
78, terralith:zpointer/terralith_glacial_chasm, HEADING, header:ignore, 0, 0, 0
79, terralith:zpointer/terralith_moonlight_grove, HEADING, header:ignore, 0, 0, 0
80, terralith:zpointer/terralith_desert_spires, HEADING, header:ignore, 0, 0, 0
81, terralith:zpointer/terralith_desert_canyon, HEADING, header:ignore, 0, 0, 0
82, terralith:zpointer/minecraft_snowy_plains, HEADING, header:ignore, 0, 0, 0
83, terralith:zpointer/terralith_red_oasis, HEADING, header:ignore, 0, 0, 0
84, graveyard:small_desert_graveyard, HEADING, header:ignore, 0, 0, 0
85, graveyard:small_desert_graveyard, MONSTER, minecraft:vindicator, 10, 1, 1
86, graveyard:small_desert_graveyard, MONSTER, minecraft:pillager, 10, 1, 1
87, incendium:ruined_lab, HEADING, header:ignore, 0, 0, 0
88, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
89, terralith:zpointer/minecraft_windswept_forest, HEADING, header:ignore, 0, 0, 0
90, terralith:zpointer/terralith_valley_clearing, HEADING, header:ignore, 0, 0, 0
91, terralith:zpointer/terralith_frozen_cliffs, HEADING, header:ignore, 0, 0, 0
92, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
93, terralith:zpointer/terralith_savanna_badlands, HEADING, header:ignore, 0, 0, 0
94, philipsruins:field_stone_ruins, HEADING, header:ignore, 0, 0, 0
95, philipsruins:field_stone_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
96, philipsruins:field_stone_ruins, MONSTER, minecraft:zombie, 12, 5, 12
97, graveyard:small_graveyard, HEADING, header:ignore, 0, 0, 0
98, graveyard:small_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
99, graveyard:small_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
100, graveyard:small_graveyard, MONSTER, graveyard:ghoul, 50, 1, 2
101, philipsruins:bone_dungeon, HEADING, header:ignore, 0, 0, 0
102, philipsruins:bone_dungeon, MONSTER, minecraft:skeleton, 10, 2, 8
103, philipsruins:bone_dungeon, MONSTER, minecraft:husk, 10, 5, 10
104, terralith:zpointer/minecraft_bamboo_jungle, HEADING, header:ignore, 0, 0, 0
105, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
106, tconstruct:clay_island, HEADING, header:ignore, 0, 0, 0
107, tconstruct:clay_island, MONSTER, tconstruct:terracube, 10, 2, 4
108, terralith:zpointer/terralith_skylands, HEADING, header:ignore, 0, 0, 0
109, terralith:zpointer/terralith_amethyst_rainforest, HEADING, header:ignore, 0, 0, 0
110, terralith:zpointer/minecraft_ice_spikes, HEADING, header:ignore, 0, 0, 0
111, goety:secluded_igloo, HEADING, header:ignore, 0, 0, 0
112, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
113, philipsruins:ocean_ruins, HEADING, header:ignore, 0, 0, 0
114, philipsruins:end_gate_fortress, HEADING, header:ignore, 0, 0, 0
115, philipsruins:end_gate_fortress, MONSTER, minecraft:enderman, 15, 5, 15
116, terralith:zpointer/minecraft_stony_shore, HEADING, header:ignore, 0, 0, 0
